vocab,weight,word1,word2,word3,word4,word5,max
wine,5595.0,deliciously,impressively,woodaged,richly,powerfully,0.0
flavors,4521.0,accent,note,wave,streak,laced,0.0
fruit,4110.0,plum,juicy,currant,fruity,swathe,0.0
acidity,3464.0,acid,freshness,minerality,aftertaste,juiciness,0.0
aromas,3417.0,scent,bouquet,whiff,note,aromatics,0.0
palate,3260.0,mouth,mouthfeel,midpalate,fleshy,sensation,0.0
drink,3134.0,enjoy,drinking,drinkable,nowhere,appreciate,0.0
finish,3133.0,finishing,midpalate,ending,tongue,hangtime,0.0
tannins,3091.0,tannic,support,structure,assertive,framework,0.0
black,2984.0,blackberry,dark,blackcherry,red,ground,0.0
ripe,2983.0,rich,generous,juicy,concentrated,packed,0.0
cherry,2954.0,blueberry,licorice,raspberry,boysenberry,pomegranate,0.0
red,2570.0,wild,black,unleashes,pomegranate,redcherry,0.0
spice,2267.0,smoke,cedar,cocoa,laced,spicy,0.0
fresh,2207.0,lively,bright,crisp,zesty,tangy,0.0
dry,2164.0,composed,refreshingly,focused,bonedry,crisply,0.0
rich,2161.0,opulent,ripe,generous,luscious,lush,0.0
notes,2153.0,accent,tone,hint,sensation,overtone,0.0
berry,2116.0,blackfruit,raspberry,blackberry,redfruit,redberry,0.0
oak,2068.0,wood,barrel,oaky,toast,coconut,0.0
soft,1970.0,gentle,smooth,supple,luscious,plush,0.0
fruits,1925.0,plum,juicy,currant,fruity,swathe,0.0
plum,1895.0,boysenberry,blueberry,prune,raisin,licorice,0.0
nose,1875.0,bouquet,aroma,pencil,scent,aromatics,0.0
crisp,1862.0,lively,fresh,refreshing,tangy,zesty,0.0
sweet,1832.0,pie,sugary,jam,candied,buttery,0.0
apple,1829.0,melon,apricot,banana,stonefruit,quince,0.0
light,1826.0,bright,fresh,delicate,lively,vivid,0.0
texture,1771.0,structure,mouthfeel,aftertaste,support,textured,0.0
white,1727.0,bell,pink,pit,jalapeño,bridge,0.0
offers,1689.0,delivers,offering,boast,show,combine,0.0
blackberry,1683.0,blackcherry,black,cassis,blueberry,raspberry,0.0
citrus,1646.0,lemon,nectarine,pear,melon,lime,0.0
dark,1625.0,dense,deep,black,leather,milk,0.0
bodied,1622.0,body,weighty,mouthfilling,flavorful,chock,0.0
bright,1609.0,vibrant,lively,fresh,crisp,vivid,0.0
blend,1598.0,5,blended,grenache,mourvèdre,includes,0.0
fruity,1588.0,attractive,attractively,flavored,perfumed,deliciously,0.0
vanilla,1529.0,caramel,toast,coconut,caramelized,toasted,0.0
shows,1526.0,showing,display,offering,offer,combine,0.0
juicy,1459.0,succulent,ripe,packed,generous,fleshy,0.0
cabernet,1441.0,cab,merlot,syrah,saintbris,malbec,0.0
green,1424.0,skin,cider,lettuce,briny,grassy,0.0
good,1391.0,nice,great,decent,fine,excellent,0.0
pepper,1390.0,tea,peppercorn,olive,licorice,sage,0.0
firm,1384.0,grippy,finegrained,solid,assertive,support,0.0
character,1373.0,edge,aftertaste,element,strongly,fruitiness,0.0
raspberry,1371.0,strawberry,pomegranate,rhubarb,cranberry,cola,0.0
lemon,1361.0,lime,tangerine,nectarine,citrus,orange,0.0
peach,1301.0,pear,quince,melon,nectarine,stonefruit,0.0
balanced,1292.0,defined,supported,integrated,driven,contrasted,0.0
touch,1288.0,hint,suggestion,note,element,streak,0.0
pear,1239.0,melon,quince,yellow,nectarine,kiwi,0.0
chocolate,1211.0,mocha,licorice,cocoa,cassis,coffee,0.0
structure,1203.0,density,support,concentration,power,juiciness,0.0
wood,1198.0,barrel,oak,toast,secondary,potential,0.0
like,1168.0,smell,taste,find,bud,sugary,0.0
smooth,1167.0,soft,supple,velvety,plush,mouthfilling,0.0
dried,1162.0,chopped,crushed,elderberry,thyme,fennel,0.0
spicy,1131.0,smoky,spice,spiced,toasty,savory,0.0
years,1117.0,decade,hour,minute,few,month,0.0
fine,1112.0,great,finely,good,wonderful,nice,0.0
medium,1097.0,ample,moderate,feeling,mediumweight,mouthfilling,0.0
sauvignon,1095.0,seyval,picpoul,chenin,franc,sauv,0.0
currant,1086.0,licorice,cherry,blueberry,plum,cassis,0.0
ready,1040.0,immediately,soon,mid2017,now–2015,2016–2026,0.0
herb,1037.0,mint,sage,leaf,peppercorn,thyme,0.0
mineral,1026.0,flinty,minerality,lend,steely,saline,0.0
pinot,1026.0,chardonnay,chard,structurally,6040,rosé,0.0
just,1021.0,only,sweetness,merest,there,toastiness,0.0
tannic,1018.0,tannin,tough,extracted,solid,rugged,0.0
style,1007.0,chard,rosé,nature,version,approach,0.0
herbal,1002.0,leafy,stalky,saucy,minty,medicinal,0.0
concentrated,998.0,dense,intense,powerful,bold,packed,0.0
note,992.0,accent,tone,hint,sensation,overtone,0.0
mouth,989.0,mouthfeel,palate,body,feel,midpalate,0.0
tart,987.0,sour,tangy,cranberry,snappy,racy,0.0
flavor,986.0,accent,note,wave,streak,laced,0.0
hint,982.0,touch,note,suggestion,sensation,accent,0.0
clean,970.0,refreshing,tonic,zippy,refreshingly,sprightly,0.0
